,0
0,7293.71441199258
1,-17086.175978398183
2,26937.71524531697
3,8728.344319341471
4,-10591.652946016984
5,4932.140909682494
6,1450.1120859547518
7,-18545.87064876454
8,-31590.25876751053
9,19167.95962448651
10,19238.25209169183
11,-6407.392800549045
12,7794.2639451469295
13,3295.121803732589
14,195.20993667910807
15,-6190.819541503675
16,9981.83981253975
17,-4034.526235508267
18,-3766.4798752297647
19,10771.363324668957
20,-12310.015916783363
21,8620.578891478712
22,8354.425505355932
23,-3351.9599607004784
24,10100.882764029084
25,9524.648301373702
26,292.7943378724158
27,-2886.8930051543284
28,4661.578411958879
29,-11228.981687240768
30,-18688.022194427438
31,-4057.52429892309
32,7127.586418701801
33,4972.157228692435
34,-3927.236077373149
35,506.0458593883086
36,-12250.601264556404
37,8186.617356501054
38,669.6538347434253
39,-2620.656609732192
40,-2017.2805714835413
41,9539.325564825675
42,-3838.0812328152824
43,-13815.269922013627
44,-223.23818510072306
45,-11966.13043008605
46,-5754.429207181558
47,7164.500529198442
48,-14249.214449875988
49,11724.503973898012
50,-967.5046531604603
51,-10764.074060398852
52,-14833.533577435417
53,2423.9929398598615
54,10237.528449135134
55,12630.961329462007
56,-1682.1806238205172
57,5824.1627949404065
58,-15659.105678058695
59,7124.43122095312
60,-22149.169581896625
61,13967.425389365293
