,0
0,1469574.3592451387
1,1475018.086098713
2,1474247.7967708807
3,1487916.5462503226
4,1486430.1645911387
5,1476503.9911739985
6,1467544.772073798
7,1467028.5460887498
8,1485436.484262543
9,1500374.2319797338
10,1498652.7754956817
11,1514632.146643862
12,1529920.4212031674
13,1526038.1531307716
14,1533805.252398377
15,1533002.6762868888
16,1533760.8309165777
17,1518854.7933554733
18,1528647.7036582741
19,1529787.391683352
20,1530115.4120595858
21,1543391.6336898676
22,1553328.6374395406
23,1546894.6126159367
24,1555546.7432077248
25,1555106.3262874377
26,1558156.5452825576
27,1551976.3936341347
28,1551399.4550052157
29,1552861.167016262
30,1551557.9367667714
31,1557526.4252862718
32,1556458.1230605713
33,1555888.469120112
34,1546194.940571452
35,1559170.3394783034
36,1574438.6141422587
37,1572307.6345072123
38,1530935.0446703068
39,1534922.2134610538
40,1500416.4765428754
41,1492343.481148896
42,1525030.8249330828
43,1521287.927375032
44,1543147.8027274383
45,1558685.9654567298
46,1553795.92879235
47,1552195.7135775099
48,1560551.0309923377
49,1540302.4839847542
50,1542564.0138688823
51,1545049.7444719912
52,1558282.8644038357
53,1529072.6290700375
54,1515037.2321052877
55,1531714.9103085317
56,1540678.9133700689
57,1548819.4762263347
58,1563664.4720922778
59,1568629.7356403978
60,1570021.2358128189
61,1566016.8020006465
62,1570362.1955561151
