,0
0,1000000.0
1,999924.2197020734
2,999858.569817515
3,995426.1626959518
4,995955.1443563376
5,991841.4774494566
6,984740.2701560846
7,983334.7561984193
8,971350.4679727443
9,972430.7948433586
10,975893.9333372791
11,948958.4585115656
12,970709.1716787363
13,966961.1507594229
14,967332.8119718242
15,968521.820409854
16,980284.73143401
17,1004872.1771914674
18,979941.264226672
19,965462.1419016349
20,967856.1969884099
21,978253.3831100832
22,979860.2629540702
23,1000410.6150798171
24,1024419.255231949
25,1020652.8423751184
26,969621.8703981093
27,979833.7267765165
28,986418.8039083171
29,979787.1526536174
30,927506.7617016524
31,926960.2053456183
32,925431.6020657063
33,913365.0802376793
34,873642.9613677796
35,924513.1628924084
36,906210.4402132906
37,888966.9455271004
38,870367.1829383578
39,828161.479723538
40,819556.1534746155
41,845988.3439660401
42,803552.2059933705
43,800674.9216402674
44,790388.9407581452
45,850913.0539697406
46,864713.2562792248
47,897791.6433885872
48,910657.7654103201
49,895626.7823782256
50,923861.1244146643
51,946729.3122363681
52,926753.8312610397
53,910038.9081236775
54,985091.0287923309
55,969803.7526458938
56,979742.4251537976
57,995479.1017085569
58,975315.790819904
59,935981.1420443297
60,953004.8877245422
61,975959.0772960862
62,1006389.1812604635
63,1017108.5419252564
64,1009484.2414428648
65,994694.2301010772
66,996156.9138811984
67,1038925.1543231145
68,1047129.7794966272
69,1005015.1795283095
70,1029848.1837562975
71,1035019.3719639651
72,1036669.4746299962
73,1000175.9100266352
74,1014185.6403005482
75,1008340.8549604515
76,1020671.2686320757
77,1034070.7258567438
78,1026386.0223489394
79,1028159.8320361102
80,1056059.438698771
81,1060305.50974539
82,1061531.5011086764
83,1096616.9613090432
84,1099568.634524692
85,1121999.9535676404
86,1108273.0267191974
87,1135049.9275890298
88,1105625.4907024654
89,1108345.2980871347
90,1083823.387454071
91,1096298.157512462
92,1090337.5050677261
93,1131932.8896926632
94,1123882.5101207925
95,1110076.2464510952
96,1098001.0581940725
97,1093257.7754175444
98,1122908.157871078
99,1105531.7235907016
100,1121501.3154469207
101,1129561.7955661358
102,1156180.1339808335
103,1156673.6327080075
104,1147178.567773372
105,1168898.2427653966
106,1166003.0962306294
107,1164929.7154720186
108,1168583.5534844438
109,1159119.979571624
110,1154623.6100837507
111,1155921.1119046079
112,1131337.1432781871
113,1121718.1095153703
114,1110861.5170747258
115,1124909.0086213383
116,1123568.7131115939
117,1089779.8346994307
118,1097608.2033099297
119,1100515.9545269965
120,1121981.640069104
121,1123479.852460782
122,1138828.6802296643
123,1124583.3397989932
124,1131246.1003108146
125,1100425.2795672042
126,1113107.9061801564
127,1092949.7833786793
128,1086869.3882782965
129,1094892.4791247412
130,1087557.185352876
131,1117711.4181484953
132,1124737.642840526
133,1163856.4882334678
134,1177075.2117732074
135,1177861.949258775
136,1195828.8906935363
137,1208834.5969562891
138,1205795.3688779469
139,1237806.7715904098
140,1245067.3256090237
141,1244049.6390540868
142,1235749.4955037702
143,1228208.0431318488
144,1241480.5993678512
145,1241968.4212448178
146,1249735.3856759453
147,1256018.4339675556
148,1253525.4682955928
149,1246098.0608682851
150,1250472.9367405754
151,1242423.1571284526
152,1230840.0057981622
153,1249300.795317316
154,1252498.8932477601
155,1241441.6077459173
156,1213375.8046695078
157,1227025.4728504466
158,1235314.6704434752
159,1247725.6524145948
160,1267655.6451147879
161,1269640.478526379
162,1275429.2191571055
163,1276879.2966393728
164,1276473.7441194977
165,1271277.303785046
166,1264991.502770442
167,1235628.0196999079
168,1231702.9136507981
169,1242534.988251797
170,1255235.9175909346
171,1275632.7981503932
172,1289149.4058608213
173,1311832.2039567102
174,1309138.5728683223
175,1314152.9276929072
176,1316641.6466554448
177,1336611.8782123278
178,1341583.2515864812
179,1348017.7636570937
180,1339356.3070595362
181,1348290.4352894374
182,1333916.9150278564
183,1326885.6726696498
184,1315334.1998586992
185,1337131.3130751154
186,1332809.3824872978
187,1333196.09126847
188,1301424.765193408
189,1298175.3204561279
190,1322560.6551083552
191,1336548.8152686618
192,1347015.6330808536
193,1351078.7535000877
194,1359802.3357202958
195,1365832.7046707934
196,1355396.7353438255
197,1378970.345918461
198,1377196.7241144192
199,1366307.6116673981
200,1384535.2314026053
201,1382371.996821626
202,1362091.251585571
203,1383223.7716133504
204,1362814.5096676927
205,1351941.3215492147
206,1358242.5651996464
207,1327003.6206231124
208,1361817.7259516497
209,1319353.2289697735
210,1328563.72737323
211,1329471.3977282054
212,1332621.6208502608
213,1361871.4706097436
214,1359419.7984618465
215,1387867.1768076618
216,1389011.3842287294
217,1400559.0489069968
218,1384861.8017049679
219,1391499.4240234331
220,1410334.7939426596
221,1409251.166616597
222,1410307.288830276
223,1392367.2681820153
224,1385341.8324071586
225,1403416.0665247422
226,1402495.84186771
227,1405057.9158001805
228,1380792.2722002717
229,1393577.0453604104
230,1403063.1736514186
231,1398876.1193686852
232,1381586.2987668803
233,1390410.2437449829
234,1383953.5933858254
235,1368408.9646446672
236,1380209.1320458537
237,1391292.1956502362
238,1395523.0951663763
239,1395129.2077570974
240,1385705.0133196462
241,1389908.2564345354
242,1370029.7152489675
243,1375173.642955032
244,1387330.3657967222
245,1388281.1725630031
246,1383672.4568628126
247,1387206.706676808
248,1387708.2416884708
249,1387500.2783326805
250,1392585.0921431717
251,1386229.798742314
252,1409071.3379270064
253,1416821.2931117236
254,1416059.5593867712
255,1425648.1532116693
256,1418471.24520532
257,1421843.97458668
258,1406863.8295790344
259,1416677.1997443752
260,1419827.1421071822
261,1401946.566315626
262,1419138.8070020678
263,1409041.44120357
264,1371124.2688789882
265,1336150.2915048224
266,1339391.680632917
267,1329565.4624770486
268,1329469.9170085145
269,1324795.477843115
270,1311904.168680474
271,1332960.6157594717
272,1356007.9799213735
273,1350335.1230106442
274,1309756.5778419746
275,1317994.828200026
276,1306183.6425878934
277,1326502.210960063
278,1324780.607799053
279,1339434.1535054948
280,1334870.0893364449
281,1358641.0027563157
282,1361638.7260622666
283,1364768.3883953681
284,1365566.9602982427
285,1364381.9973206574
286,1354593.9740567568
287,1368848.685645041
288,1359998.8416371178
289,1361091.1874235922
290,1370041.7592792772
291,1376839.382426554
292,1375028.144162884
293,1387773.375536993
294,1408801.0004234659
295,1413364.8786396547
296,1412754.5714250964
297,1419074.3733795574
298,1426624.2376068851
299,1430351.4672579095
300,1426322.746138024
301,1435245.4391846773
302,1442831.1192089187
303,1448717.5843148318
304,1447702.4318299934
305,1445195.1292602557
306,1451822.3243567385
307,1442081.8927766115
308,1444757.7054623275
309,1441605.6161240828
310,1451482.115154177
311,1444917.2374078585
312,1438582.5712508678
313,1447000.6984563465
314,1458522.804988747
315,1456331.01287956
316,1455367.6917651475
317,1464698.9265154083
318,1474431.3083007613
319,1474784.1869197134
320,1478577.8470717736
321,1493754.988170411
322,1493718.046782784
323,1437759.3661695335
324,1449987.8638499377
325,1448160.17720869
326,1443559.50773289
327,1443825.7686650988
328,1451764.8593935142
329,1444065.9025234084
330,1423899.4939009808
331,1439722.369692259
332,1455592.6690676082
333,1406895.7245112478
334,1429065.8116515242
335,1405308.177656826
336,1396963.1903480967
337,1348748.2781596668
338,1337890.416476473
339,1383276.6294432937
340,1375710.716472021
341,1398978.390609695
342,1381065.3946734027
343,1361330.37051667
344,1359171.8616037075
345,1336878.2012547741
346,1334834.3811364642
347,1290537.345909746
348,1309757.5276657087
349,1293996.1579468048
350,1303791.7368260142
351,1296409.9931825246
352,1335134.0857116238
353,1320233.4161621593
354,1304731.093874635
355,1334483.7014361843
356,1339782.6775319856
357,1302719.007346135
358,1285651.984582015
359,1302451.312069601
360,1290415.6790680375
361,1310196.3567671927
362,1313995.0929903188
363,1308066.2808752074
364,1337576.2250497837
365,1338491.5679105213
366,1342366.6112076815
367,1347879.5617339842
368,1344044.5732236325
369,1321626.2757469406
370,1318728.4177187493
371,1304146.5936537215
372,1307130.5467921395
373,1298828.3871153302
374,1268328.902740686
375,1254269.7754898653
376,1247998.8014706105
377,1245434.794608985
378,1256400.0383239621
379,1289245.9008346135
380,1300021.698984381
381,1309582.2156632077
382,1308623.83278309
383,1326983.695619532
384,1325413.119722812
385,1339252.8359708309
386,1317288.1102273576
387,1322070.4373332844
388,1337588.1842896112
389,1324332.8323758382
390,1339697.7212717943
391,1349347.6334836143
392,1361491.3447409295
393,1359024.2938170952
394,1355606.969383502
395,1360449.599099789
396,1352367.0494087175
397,1382617.0838274616
398,1381708.829136769
399,1394025.8193415604
400,1396043.3198852108
401,1390467.288163825
402,1398261.823636976
403,1389054.0314512888
404,1354905.698662788
405,1345885.0934775423
406,1339465.5916633846
407,1340919.578604289
408,1356741.3801856497
409,1357442.123389564
410,1338232.3787142755
411,1336162.6595035458
412,1331084.8772932172
413,1311121.0076934125
414,1314440.495056826
415,1302304.1646512575
416,1315918.5879794615
417,1296537.901314356
418,1298901.4016562356
419,1331232.215626937
420,1337053.4278423383
421,1364732.7460112001
422,1350773.9232542964
423,1360515.7902717248
424,1367500.9517438984
425,1375184.210402211
426,1388421.7452243494
427,1384706.5092079868
428,1387285.1049321282
429,1387616.2621285205
430,1386769.9961932001
431,1402027.7649433764
432,1404382.6092771476
433,1397375.398691191
434,1384667.5632006926
435,1408063.5696939635
436,1401054.9037875934
437,1401585.667994933
438,1396468.4380522748
439,1393661.1944780343
440,1405036.0418990452
441,1394389.6566898352
442,1420008.7619806512
443,1424573.498339506
444,1424287.2222512413
445,1438541.7629343015
446,1439345.1769362402
447,1445464.4584520403
448,1452863.3553366896
449,1448072.2693075591
450,1446165.6038910223
451,1460839.0990073388
452,1450823.86025176
453,1474419.9548273245
454,1475604.885047212
455,1473523.1677452966
456,1475935.7424999087
457,1477408.559364696
458,1470442.2675633398
459,1482128.401120724
460,1478102.9038234663
461,1483602.8161096722
462,1496836.5939183375
463,1499501.0273340258
464,1529206.387388216
465,1542504.225833462
466,1538231.4530444292
467,1532380.2903216302
468,1537315.0046619
469,1532232.766074377
470,1520299.2401789925
471,1517275.9337804557
472,1493549.4023285974
473,1496719.2135796386
474,1520623.3484864002
475,1524540.8614278429
476,1511708.7017827278
477,1486862.7148842139
478,1507051.8537192717
479,1494218.002078706
480,1495860.5119016417
481,1488713.9624068982
482,1521036.8789220222
483,1536585.4254918958
484,1535560.4974325807
485,1534752.1508630572
486,1534100.8100857614
487,1545469.3713148534
488,1548779.533393253
489,1555480.7321459518
490,1564320.002955546
491,1560895.854047697
492,1554102.9025243642
493,1558967.1470934385
494,1556508.3068657392
495,1562146.7772130673
496,1573023.6796851652
497,1575092.198413679
498,1572821.2333797251
499,1573483.5440368033
500,1575042.2720348656
501,1571247.0364717743
502,1570740.7808782742
503,1570807.4717626465
504,1594937.6654673712
505,1598223.9619053598
506,1603181.3840632224
507,1601121.0510004128
508,1599621.462581742
509,1594076.796980226
510,1598013.2433607404
511,1609522.1851590467
512,1609963.5357786692
513,1625434.2011938374
514,1634501.8599651353
515,1612159.8889976258
516,1604548.4501947982
517,1610717.9256369723
518,1615105.5661561475
519,1607692.12166249
520,1611122.2135822265
521,1619611.253532913
522,1599066.522435493
523,1614493.2273037639
524,1645657.1798859122
525,1645154.846284036
526,1645874.4893774036
527,1649278.4022682423
528,1660868.8494140166
529,1663738.2085266272
530,1659094.8919022356
531,1658010.6511030472
532,1663668.8798992643
533,1674720.313103158
534,1661094.6622119502
535,1671038.7922261055
536,1671544.3770484782
537,1684908.3643127657
538,1665074.0037153037
539,1666258.09343306
540,1660036.0807602657
541,1666227.9197308042
542,1671662.9800094338
543,1652350.6322512801
544,1659188.6215304162
545,1685144.3419978241
546,1667536.6651959915
547,1653281.2690759928
548,1664147.8226281947
549,1663177.390084562
550,1626873.151075284
551,1635625.0506573964
552,1630358.2772358216
553,1610835.655891249
554,1580575.865324218
555,1603882.579664664
556,1613999.7241238388
557,1637503.5635311035
558,1632502.4439495928
559,1634594.6871894924
560,1644032.8622210617
561,1646156.661409623
562,1640315.7749679852
563,1651733.580020675
564,1667530.925474696
565,1660381.0982040274
566,1672700.858483316
567,1673097.3746082154
568,1671552.0271607165
569,1676337.3023491357
570,1676882.4087246894
571,1672728.3755128172
572,1669494.2361746957
573,1652510.5309920472
574,1653281.5267259972
575,1648298.7423298089
576,1654917.2931139949
577,1632209.2646389666
578,1639448.2248446094
579,1665592.7480984791
580,1680319.2783163432
581,1676143.4936784816
582,1694783.946914846
583,1703240.296907665
584,1702427.5766522684
585,1715010.4051875533
586,1711543.1694209941
587,1703457.568784609
588,1694200.8358443023
589,1673884.3532972045
590,1676333.7152671497
591,1680781.8447141764
592,1692097.2824446298
593,1666388.3310530891
594,1657686.2293692157
595,1648533.5901237354
596,1640733.8988017049
597,1635109.4869437541
598,1652344.5527402253
599,1652845.6873609885
600,1632957.39496868
601,1618975.0307714008
602,1619847.7053524444
603,1624382.1585380055
604,1626837.532173157
605,1638246.1994492137
606,1656013.8050391108
607,1618719.0733639635
608,1611934.4018018297
609,1604060.099366858
610,1591208.5862335863
611,1586097.0334570596
612,1582995.946215273
613,1599493.711619166
614,1582077.322934926
615,1580617.1473334841
616,1597048.8474346523
617,1569988.6807488755
618,1577810.3760348652
619,1582158.8542384738
620,1593343.060500923
621,1610159.9037777747
622,1594499.402166176
623,1577702.0161024071
624,1556297.224789724
625,1567884.7804964625
626,1590044.290592877
627,1601224.3167007829
628,1621458.8379181162
629,1647352.9208551047
630,1639980.017608682
631,1643168.967359413
632,1656347.5119749093
633,1650610.783670313
634,1630527.582734058
635,1623875.4684936076
636,1633660.0331212021
637,1630570.4867996257
638,1637303.9046201708
639,1626571.8942215212
640,1638743.2936519359
641,1646233.9334507163
642,1673355.7319291474
643,1663081.0059157615
644,1656092.584693896
645,1652763.3282788198
646,1621124.4525154696
647,1609469.8187255492
648,1589956.2803783428
649,1583682.6648038293
650,1546121.4331635453
651,1548896.5428093437
652,1476346.1799655806
653,1488761.2552237841
654,1400856.667852232
655,1449772.9479186186
656,1369266.990365228
657,1440516.2268832694
658,1452583.019601342
659,1485262.107908644
660,1469526.9284112332
661,1471696.4265997463
662,1418855.9804924314
663,1398678.5910568696
664,1393745.897753602
665,1436503.5866432895
666,1455470.4677176448
667,1429215.296665966
668,1447844.2396189542
669,1482897.6735465059
670,1485641.4496327138
671,1494239.3185436144
672,1474026.6909820165
673,1436668.17143085
674,1423611.4651281792
675,1465527.6506351547
676,1447901.8385606455
677,1409740.8601356023
678,1420482.0814976967
679,1430426.8116006856
680,1445403.5361774622
681,1473717.2872749243
682,1480457.911736672
683,1461234.4767058885
684,1457151.352242618
685,1409736.9600178953
686,1358076.1572397365
687,1365830.7850528506
688,1406070.8266309095
689,1424407.835461031
690,1396627.2162641536
691,1418668.1860731086
692,1389150.719253996
693,1345204.2484947671
694,1374005.7415008463
695,1394071.7639266585
696,1412374.5106421201
697,1397202.9722470588
698,1443080.078087166
699,1444029.5718561024
700,1462960.999486806
701,1451188.3287958456
702,1474848.4021718
703,1455769.398725695
704,1485045.703801273
705,1475937.9141890104
706,1483156.5554433612
707,1514332.1901708958
708,1529618.1673959878
709,1505595.8287309646
710,1536663.9440685457
711,1582671.3429894676
712,1580149.2557754507
713,1531513.1821576732
714,1484113.939694294
715,1507278.13009368
716,1530045.2587035182
717,1516614.6233422447
718,1523515.4452805568
719,1544590.3618868745
720,1487317.154814024
721,1506560.7846782727
722,1539620.3776320533
723,1526062.1419686384
724,1530561.534906861
725,1503157.0679629005
726,1484770.608737311
727,1487590.6809550382
728,1461855.4435130486
729,1448868.15350372
730,1422436.3172078265
731,1417766.9300429414
732,1458008.5502127784
733,1465110.6825591694
734,1539426.0255456564
735,1528248.3143629995
736,1533898.2200097148
